"An error occured trying to apply the redemption while adding the product to your cart: ","Er is een fout opgetreden bij het toepassen van de korting bij het oevoegen aan uw winkelwagen. "
"If you're seeing this page it confirms that Sweet Tooth is installed and the Points-onyl Extension is ready for use.","Als u deze pagina ziet is Sweet TOoth geïnstalleerd en de Points-only extensie is klaar voor gebruik."
"See product details","Bekijk productdetails"
"Sweet Tooth must be installed on the server in order to use the Sweet Tooth Points-only Store","Sweet Tooth moet geinstalleerd zijn op de server om de Sweet Tooth Points-only store te gebruiken."
